time,IR
0.019, 619
0.039, 631
0.059, 637
0.080, 633
0.098, 627
0.119, 627
0.139, 654
0.160, 621
0.180, 613
0.200, 607
0.221, 606
0.239, 619
0.259, 599
0.279, 605
0.300, 597
0.320, 588
0.341, 573
0.361, 581
0.380, 586
0.400, 572
0.421, 557
0.440, 567
0.461, 547
0.481, 529
0.499, 545
0.520, 585
0.540, 628
0.561, 672
0.581, 700
0.602, 733
0.622, 743
0.641, 750
0.660, 756
0.681, 764
0.701, 758
0.722, 750
0.742, 735
0.763, 746
0.781, 735
0.802, 723
0.822, 715
0.843, 691
0.862, 682
0.882, 676
0.903, 682
0.921, 653
0.942, 638
0.962, 619
0.983, 616
1.003, 620
1.024, 602
1.042, 605
1.063, 585
1.082, 579
1.103, 574
1.123, 577
1.144, 568
1.164, 577
1.182, 583
1.203, 587
1.223, 600
1.244, 603
1.264, 628
1.285, 628
1.303, 630
1.323, 638
1.343, 645
1.364, 645
1.384, 634
1.405, 651
1.425, 657
1.444, 661
1.464, 653
1.485, 647
1.505, 637
1.526, 708
1.545, 1370
1.564, 2484
1.584, 3475
1.604, 3950
1.625, 4231
1.645, 4915
1.666, 6239
1.684, 8450
1.705, 10655
1.725, 11677
1.746, 12524
1.766, 13731
1.785, 15685
1.805, 18227
1.826, 21695
1.846, 27364
1.867, 36489
1.885, 50968
1.905, 67470
1.926, 80374
1.946, 91131
1.967, 92474
1.985, 93839
2.006, 96485
2.026, 98303
2.047, 99216
2.067, 99952
2.086, 100307
2.106, 100659
2.128, 101001
2.148, 101244
2.167, 101325
2.187, 101394
2.208, 101423
2.228, 101402
2.248, 101430
2.267, 101435
2.287, 101598
2.308, 101682
2.328, 101824
2.347, 102059
2.367, 102151
2.388, 102053
2.408, 102069
2.427, 102217
2.448, 102336
2.469, 102435
2.489, 102363
2.510, 102301
2.528, 102248
2.549, 102085
2.569, 101938
2.589, 101812
2.608, 101679
2.628, 101432
2.649, 101129
2.669, 101039
2.690, 100826
2.708, 100554
2.729, 100455
2.749, 100589
2.770, 100722
2.789, 100776
2.810, 100802
2.830, 100796
2.851, 100721
2.871, 100642
2.889, 100657
2.910, 100740
2.930, 100869
2.951, 100950
2.969, 101033
2.990, 101052
3.010, 101167
3.031, 101262
3.049, 101373
3.070, 101437
3.090, 101461
3.111, 101430
3.131, 101395
3.151, 101423
3.171, 101496
3.192, 101478
3.212, 101474
3.230, 101407
3.251, 101355
3.271, 101364
3.292, 101348
3.312, 101327
3.331, 101370
3.351, 101390
3.372, 101360
3.392, 101275
3.411, 101297
3.431, 101337
3.452, 101336
3.472, 101325
3.492, 101370
3.512, 101353
3.533, 101316
3.553, 101369
3.574, 101409
3.592, 101479
3.612, 101533
3.633, 101569
3.653, 101519
3.672, 101487
3.692, 101364
3.713, 101299
3.733, 101248
3.754, 101248
3.772, 101232
3.794, 101183
3.814, 101053
3.835, 100919
3.853, 100822
3.874, 100801
3.894, 100745
3.915, 100746
3.935, 100746
3.953, 100740
3.974, 100720
3.994, 100698
4.015, 100695
4.033, 100736
4.054, 100764
4.074, 100721
4.095, 100741
4.114, 100772
4.135, 100804
4.155, 100758
4.176, 100720
4.196, 100687
4.215, 100712
4.235, 100749
4.256, 100718
4.276, 100731
4.294, 100704
4.315, 100699
4.335, 100714
4.356, 100736
4.374, 100738
4.395, 100755
4.415, 100772
4.437, 100760
4.457, 100744
4.476, 100759
4.496, 100787
4.517, 100762
4.537, 100747
4.556, 100797
4.576, 100796
4.597, 100766
4.617, 100705
4.637, 100621
4.656, 100558
4.676, 100484
4.697, 100478
4.717, 100459
4.737, 100420
4.757, 100329
4.778, 100274
4.798, 100244
4.817, 100266
4.837, 100309
4.858, 100297
4.878, 100294
4.899, 100259
4.917, 100278
4.937, 100300
4.958, 100270
4.978, 100230
4.997, 100200
5.017, 100193
5.038, 100226
5.058, 100261
5.079, 100249
5.098, 100260
5.119, 100287
5.139, 100312
5.160, 100280
5.178, 100286
5.199, 100267
5.219, 100254
5.240, 100256
5.260, 100257
5.278, 100236
5.299, 100248
5.319, 100240
5.340, 100226
5.358, 100238
5.379, 100222
5.399, 100188
5.420, 100225
5.439, 100261
5.460, 100285
5.480, 100339
5.501, 100357
5.521, 100421
5.540, 100418
5.560, 100422
5.581, 100378
5.601, 100343
5.619, 100368
5.640, 100383
5.660, 100418
5.681, 100378
5.701, 100331
5.720, 100278
5.740, 100258
5.761, 100285
5.782, 100299
5.801, 100341
5.821, 100389
5.842, 100426
5.862, 100485
5.883, 100555
5.901, 100617
5.922, 100628
5.942, 100666
5.963, 100726
5.981, 100828
6.001, 100880
6.022, 100875
6.042, 100895
6.061, 100966
6.081, 101037
6.102, 101058
6.123, 101099
6.144, 101129
6.162, 101196
6.183, 101242
6.203, 101246
6.224, 101281
6.242, 101270
6.263, 101287
6.283, 101298
6.304, 101333
6.324, 101372
6.342, 101409
6.363, 101421
6.383, 101416
6.404, 101419
6.423, 101449
6.444, 101457
6.464, 101478
6.485, 101428
6.503, 101355
6.524, 101342
6.544, 101368
6.565, 101376
6.585, 101425
6.604, 101493
6.624, 101448
6.645, 101404
6.665, 101360
6.683, 101309
6.704, 101305
6.724, 101350
6.745, 101348
6.765, 101363
6.785, 101363
6.805, 101326
6.826, 101275
6.846, 101177
6.865, 101035
6.885, 100904
6.906, 100762
6.926, 100690
6.947, 100680
6.965, 100698
6.985, 100698
7.006, 100678
7.026, 100675
7.045, 100719
7.065, 100703
7.086, 100719
7.106, 100721
7.127, 100675
7.146, 100651
7.167, 100630
7.187, 100664
7.208, 100698
7.226, 100723
7.247, 100705
7.267, 100716
7.288, 100770
7.306, 100787
7.326, 100761
7.347, 100685
7.367, 100588
7.388, 100467
7.406, 100378
7.427, 100359
7.448, 100272
7.469, 100172
7.487, 100089
7.508, 100037
7.528, 99979
7.549, 99923
7.569, 99912
7.588, 99905
7.608, 99855
7.629, 99801
7.649, 99737
7.670, 99716
7.688, 99707
7.708, 99709
7.729, 99755
7.749, 99761
7.770, 99755
7.788, 99797
7.809, 99814
7.829, 99870
7.850, 99871
7.870, 99822
7.889, 99801
7.909, 99785
7.930, 99765
7.950, 99738
7.971, 99721
7.989, 99752
8.009, 99771
8.030, 99813
8.050, 99865
8.071, 99893
8.089, 99928
8.110, 99978
8.130, 99973
8.151, 99946
8.171, 99939
8.190, 99906
8.210, 99824
8.231, 99797
8.251, 99810
8.272, 99775
8.290, 99743
8.311, 99670
8.331, 99632
8.352, 99610
8.372, 99635
8.390, 99715
8.411, 99750
8.431, 99766
8.452, 99793
8.472, 99770
8.491, 99777
8.511, 99829
8.532, 99867
8.552, 99929
8.573, 99988
8.591, 100085
8.612, 100103
8.632, 100132
8.653, 100203
8.672, 100297
8.693, 100396
8.713, 100440
8.733, 100516
8.752, 100532
8.772, 100578
8.793, 100642
8.813, 100708
8.834, 100735
8.852, 100706
8.873, 100636
8.893, 100384
8.914, 99722
8.932, 96638
8.953, 64704
8.973, 32111
8.994, 17647
9.014, 11590
9.032, 8811
9.053, 7432
9.073, 6964
9.094, 6958
9.114, 7141
9.135, 7412
9.153, 7445
9.174, 7438
9.194, 7495
9.215, 7716
9.235, 7929
9.254, 8015
9.274, 8024
9.295, 8081
9.315, 8165
9.336, 8330
9.356, 8447
9.374, 8476
9.395, 8361
9.415, 8303
9.436, 8116
9.456, 7553
9.475, 6612
9.495, 5432
9.516, 4238
9.536, 3198
9.556, 2378
9.576, 1734
9.596, 1320
9.615, 1052
9.636, 853
9.656, 763
9.677, 719
9.697, 687
9.715, 723
9.736, 685
